Catalog ID,MW,Formula,Chemical name,Smiles,Type
Z4332070207,370.371,C16H16F2N2O4S,4-({[1-(2-fluorophenyl)ethyl](methyl)carbamoyl}amino)phenyl sulfurofluoridate,CC(C=1C=CC=CC1F)N(C)C(=O)NC=2C=CC(=CC2)OS(=O)(=O)F,FS
Z4343785824,315.4035,C15H22FNO3S,2-{[(3-methyloxetan-3-yl)methyl][(3-methylphenyl)methyl]amino}ethane-1-sulfonyl fluoride,CC=1C=CC=C(C1)CN(CCS(=O)(=O)F)CC2(C)COC2,SuFEx
Z4262369568,394.4389,C14H19FN2O6S2,4-[4-(pyrrolidine-1-sulfonyl)butanamido]phenyl sulfurofluoridate,O=C(CCCS(=O)(=O)N1CCCC1)NC=2C=CC(=CC2)OS(=O)(=O)F,FS
Z4343659193,326.3897,C14H19FN4O2S,"2-{[(2-ethyl-2H-1,2,3-triazol-4-yl)methyl](3-methylphenyl)amino}ethane-1-sulfonyl fluoride",CCN1N=CC(CN(CCS(=O)(=O)F)C=2C=CC=C(C)C2)=N1,SuFEx
Z4607560593,424.3424,C16H13F5N2O4S,4-[({[3-fluoro-5-(trifluoromethyl)phenyl]methyl}(methyl)carbamoyl)amino]phenyl sulfurofluoridate,CN(CC=1C=C(F)C=C(C1)C(F)(F)F)C(=O)NC=2C=CC(=CC2)OS(=O)(=O)F,FS
Z4343816158,329.4334,C15H24FN3O2S,2-({[1-(cyclopropylmethyl)-1H-pyrazol-5-yl]methyl}(3-methylcyclobutyl)amino)ethane-1-sulfonyl fluoride,CC1CC(C1)N(CCS(=O)(=O)F)CC2=CC=NN2CC3CC3,SuFEx
Z4332082056,398.8363,C17H16ClFN2O4S,"4-[(7-chloro-8-methyl-1,2,3,4-tetrahydroisoquinoline-2-carbonyl)amino]phenyl sulfurofluoridate",CC=1C(Cl)=CC=C2CCN(CC12)C(=O)NC=3C=CC(=CC3)OS(=O)(=O)F,FS
Z4262296091,377.3587,C14H10F3NO4S2,4-{2-[(difluoromethyl)sulfanyl]benzamido}phenyl sulfurofluoridate,O=C(NC=1C=CC(=CC1)OS(=O)(=O)F)C=2C=CC=CC2SC(F)F,FS
Z3086086023,337.8179,C12H13ClFNO3S2,3-chloro-4-[(2-methylthiolan-3-yl)carbamoyl]benzene-1-sulfonyl fluoride,CC1SCCC1NC(=O)C=2C=CC(=CC2Cl)S(=O)(=O)F,SuFEx
Z4607528834,348.3473,C13H17FN2O6S,"methyl 4-({5-[(fluorosulfonyl)oxy]pyridin-3-yl}carbamoyl)-3,3-dimethylbutanoate",COC(=O)CC(C)(C)CC(=O)NC=1C=NC=C(C1)OS(=O)(=O)F,FS
Z3482546899,395.854,C14H15ClFNO5S2,methyl 1-{2-[(4-chlorophenyl)sulfanyl]acetyl}-4-(fluorosulfonyl)pyrrolidine-2-carboxylate,COC(=O)C1CC(CN1C(=O)CSC=2C=CC(Cl)=CC2)S(=O)(=O)F,SuFEx
Z2867535459,334.3471,C10H11FN4O4S2,"3-[(1-ethyl-1H-1,2,4-triazol-5-yl)sulfamoyl]benzene-1-sulfonyl fluoride",CCN1N=CN=C1NS(=O)(=O)C=2C=CC=C(C2)S(=O)(=O)F,SuFEx
Z4262406729,332.3479,C13H17FN2O5S,"rac-5-[(2R,4R)-4-(hydroxymethyl)-2-methylpiperidine-1-carbonyl]pyridin-3-yl sulfurofluoridate","C[C@@H]1C[C@H](CO)CCN1C(=O)C=2C=NC=C(C2)OS(=O)(=O)F |&1:1,3|",FS
Z3488545562,341.3149,C13H12FN3O5S,"3-[2-(3-methyl-2,4-dioxo-1,2,3,4-tetrahydropyrimidin-1-yl)acetamido]benzene-1-sulfonyl fluoride",CN1C(=O)C=CN(CC(=O)NC=2C=CC=C(C2)S(=O)(=O)F)C1=O,SuFEx
Z2768315461,362.4185,C18H19FN2O3S,"5-[(1R,3S,5S)-3-phenyl-8-azabicyclo[3.2.1]octane-8-carbonyl]-1H-pyrrole-3-sulfonyl fluoride",O=C(C1=CC(=CN1)S(=O)(=O)F)N2[C@@H]3CC[C@H]2C[C@H](C3)C=4C=CC=CC4,SuFEx
Z2867517973,320.3173,C10H9FN2O5S2,"3-[(4-methyl-1,2-oxazol-3-yl)sulfamoyl]benzene-1-sulfonyl fluoride",CC1=CON=C1NS(=O)(=O)C2=CC=CC(=C2)S(=O)(=O)F,SuFEx
Z2768273221,387.3849,C18H14FN3O4S,"3-({3-[(2-oxo-1,2-dihydropyrimidin-1-yl)methyl]phenyl}carbamoyl)benzene-1-sulfonyl fluoride",O=C(NC=1C=CC=C(C1)CN2C=CC=NC2=O)C=3C=CC=C(C3)S(=O)(=O)F,SuFEx
Z3488600307,323.361,C11H14FNO5S2,"4-({[(1s,3s)-3-hydroxycyclobutyl]methyl}sulfamoyl)benzene-1-sulfonyl fluoride",O=S(=O)(F)C=1C=CC(=CC1)S(=O)(=O)NC[C@@H]2C[C@H](O)C2,SuFEx
Z2768273220,387.3849,C18H14FN3O4S,"4-({3-[(2-oxo-1,2-dihydropyrimidin-1-yl)methyl]phenyl}carbamoyl)benzene-1-sulfonyl fluoride",O=C(NC=1C=CC=C(C1)CN2C=CC=NC2=O)C=3C=CC(=CC3)S(=O)(=O)F,SuFEx
Z3488543746,351.3214,C12H8F3NO4S2,3-[3-(difluoromethoxy)thiophene-2-amido]benzene-1-sulfonyl fluoride,O=C(NC=1C=CC=C(C1)S(=O)(=O)F)C=2SC=CC2OC(F)F,SuFEx
Z2907424037,371.811,C16H15ClFNO4S,4-{2-[(5-chloro-2-methoxyphenyl)formamido]ethyl}benzene-1-sulfonyl fluoride,COC=1C=CC(Cl)=CC1C(=O)NCCC=2C=CC(=CC2)S(=O)(=O)F,SuFEx
Z3488555485,327.3347,C12H14FN5O3S,"4-{2-[5-(propan-2-yl)-1H-1,2,3,4-tetrazol-1-yl]acetamido}benzene-1-sulfonyl fluoride",CC(C)C1=NN=NN1CC(=O)NC=2C=CC(=CC2)S(=O)(=O)F,SuFEx
Z4262427692,332.3479,C13H17FN2O5S,5-[(3R)-3-(propan-2-yloxy)pyrrolidine-1-carbonyl]pyridin-3-yl sulfurofluoridate,CC(C)O[C@@H]1CCN(C1)C(=O)C=2C=NC=C(C2)OS(=O)(=O)F,FS
Z2867503041,335.3948,C11H10FNO4S3,3-[(4-methylthiophen-3-yl)sulfamoyl]benzene-1-sulfonyl fluoride,CC1=CSC=C1NS(=O)(=O)C2=CC=CC(=C2)S(=O)(=O)F,SuFEx
Z3292075565,377.4331,C18H20FN3O3S,"4-{2-oxo-2-[4-(pyridin-4-yl)-1,4-diazepan-1-yl]ethyl}benzene-1-sulfonyl fluoride",O=C(CC=1C=CC(=CC1)S(=O)(=O)F)N2CCCN(CC2)C=3C=CN=CC3,SuFEx
Z4344044178,325.4016,C15H20FN3O2S,"2-{benzyl[(1,3-dimethyl-1H-pyrazol-5-yl)methyl]amino}ethane-1-sulfonyl fluoride",CC=1C=C(CN(CCS(=O)(=O)F)CC=2C=CC=CC2)N(C)N1,SuFEx
Z3076755441,390.4286,C19H19FN2O4S,4-({[(3-cyclopropaneamidophenyl)methyl]carbamoyl}methyl)benzene-1-sulfonyl fluoride,O=C(CC=1C=CC(=CC1)S(=O)(=O)F)NCC=2C=CC=C(C2)NC(=O)C3CC3,SuFEx
Z4321023026,392.4444,C19H21FN2O4S,4-[(4-benzamidopiperidin-1-yl)methyl]phenyl sulfurofluoridate,O=C(NC1CCN(CC=2C=CC(=CC2)OS(=O)(=O)F)CC1)C=3C=CC=CC3,FS
Z4751086371,364.3913,C17H17FN2O4S,4-({[(3-acetamidophenyl)methyl]carbamoyl}methyl)benzene-1-sulfonyl fluoride,CC(=O)NC=1C=CC=C(C1)CNC(=O)CC=2C=CC(=CC2)S(=O)(=O)F,SuFEx
Z4235912223,317.3597,C11H12FN3O3S2,"3-{[(4-ethyl-5-oxo-4,5-dihydro-1H-1,2,4-triazol-3-yl)sulfanyl]methyl}benzene-1-sulfonyl fluoride",CCN1C(=O)NN=C1SCC2=CC=CC(=C2)S(=O)(=O)F,SuFEx
Z4751086374,404.4551,C20H21FN2O4S,4-({[(3-cyclobutaneamidophenyl)methyl]carbamoyl}methyl)benzene-1-sulfonyl fluoride,O=C(CC=1C=CC(=CC1)S(=O)(=O)F)NCC=2C=CC=C(C2)NC(=O)C3CCC3,SuFEx
Z4187619618,387.4462,C16H18FNO5S2,3-{[(3-methanesulfonyl-5-methoxyphenyl)amino]methyl}-4-methylbenzene-1-sulfonyl fluoride,COC=1C=C(C=C(C1)S(C)(=O)=O)NCC=2C=C(C=CC2C)S(=O)(=O)F,SuFEx
Z4607567192,355.3564,C16H15F2NO4S,4-[4-(4-fluorophenyl)butanamido]phenyl sulfurofluoridate,O=C(CCCC=1C=CC(F)=CC1)NC=2C=CC(=CC2)OS(=O)(=O)F,FS
Z4262348928,357.3292,C15H13F2NO5S,4-[3-(4-fluorophenoxy)propanamido]phenyl sulfurofluoridate,O=C(CCOC=1C=CC(F)=CC1)NC=2C=CC(=CC2)OS(=O)(=O)F,FS
Z4262362146,341.3579,C14H16FN3O4S,4-{2-[1-(propan-2-yl)-1H-pyrazol-3-yl]acetamido}phenyl sulfurofluoridate,CC(C)N1C=CC(CC(=O)NC=2C=CC(=CC2)OS(=O)(=O)F)=N1,FS
Z2969937130,328.3592,C14H17FN2O4S,6-{[1-(5-ethylfuran-2-yl)-2-methoxyethyl]amino}pyridine-3-sulfonyl fluoride,CCC1=CC=C(O1)C(COC)NC=2C=CC(=CN2)S(=O)(=O)F,SuFEx
Z4262269852,391.3736,C17H14FN3O5S,4-[1-(3-methoxyphenyl)-1H-pyrazole-3-amido]phenyl sulfurofluoridate,COC=1C=CC=C(C1)N2C=CC(=N2)C(=O)NC=3C=CC(=CC3)OS(=O)(=O)F,FS
Z4262452109,332.3479,C13H17FN2O5S,"5-[(5S)-2,2,5-trimethylmorpholine-4-carbonyl]pyridin-3-yl sulfurofluoridate",C[C@H]1COC(C)(C)CN1C(=O)C=2C=NC=C(C2)OS(=O)(=O)F,FS
Z2768287412,392.4444,C19H21FN2O4S,4-[methyl({[2-(morpholin-4-yl)phenyl]methyl})carbamoyl]benzene-1-sulfonyl fluoride,CN(CC=1C=CC=CC1N2CCOCC2)C(=O)C=3C=CC(=CC3)S(=O)(=O)F,SuFEx
Z4262407994,334.3207,C12H15FN2O6S,5-[3-(methoxymethyl)morpholine-4-carbonyl]pyridin-3-yl sulfurofluoridate,COCC1COCCN1C(=O)C=2C=NC=C(C2)OS(=O)(=O)F,FS
Z3489903992,421.4857,C20H24FN3O4S,4-{4-[(dimethylcarbamoyl)(phenyl)methyl]piperazin-1-yl}phenyl sulfurofluoridate,CN(C)C(=O)C(C=1C=CC=CC1)N2CCN(CC2)C=3C=CC(=CC3)OS(=O)(=O)F,FS
Z3488635548,313.3478,C13H16FN3O3S,"6-{[1-(3,5-dimethyl-1,2-oxazol-4-yl)propan-2-yl]amino}pyridine-3-sulfonyl fluoride",CC1=NOC(C)=C1CC(C)NC=2C=CC(=CN2)S(=O)(=O)F,SuFEx
Z3489903940,335.3732,C15H10FNO3S2,"4-(4-phenyl-1,3-thiazol-2-yl)phenyl sulfurofluoridate",O=S(=O)(F)OC=1C=CC(=CC1)C2=NC(=CS2)C=3C=CC=CC3,FS
Z2736753124,323.3394,C15H14FNO4S,4-[2-(3-methylphenoxy)acetamido]benzene-1-sulfonyl fluoride,CC=1C=CC=C(C1)OCC(=O)NC=2C=CC(=CC2)S(=O)(=O)F,SuFEx
