Gene,Drugs,# Drugs,DrugBank Drug IDs,# Pubmed Results (Inhibitor),# OpenAlex Results (Inhibitor),# Pubmed Results (Inhibition),# OpenAlex Results (Inhibition),Inhibition Results,# Pubmed Results,# OpenAlex Results,Total Results,Level of Evidence
RASA1,,0,,50,14,70,2,136,379,2644,3023,
KMT2C,,0,,81,2,45,1,129,670,3502,4172,
ELF3,,0,,50,19,3,53,125,669,4682,5351,
AJUBA,,0,,29,35,54,3,121,198,1796,1994,
RBM10,,0,,31,41,40,5,117,241,1399,1640,
ZFP36L1,,0,,26,23,46,1,96,191,1462,1653,
ARID2,,0,,49,6,40,0,95,292,2553,2845,
CIC,,0,,1,58,5,30,94,25173,82999,108172,
ACVR2A,,0,DB12118,36,8,37,1,82,223,1885,2108,
GPS2,,0,,18,7,29,19,73,146,1258,1404,
ZFHX3,,0,,32,7,31,1,71,298,1645,1943,
EIF1AX,,0,,33,0,29,0,62,324,1289,1613,
ZNF750,,0,,10,21,26,1,58,103,699,802,
STAG2,,0,,50,3,1,3,57,410,3685,4095,Dx2
RPL22,,0,,22,4,29,1,56,463,2694,3157,
GNA13,,0,,21,3,28,1,53,153,1211,1364,
RRAS2,,0,,19,0,24,0,43,129,713,842,
ARID5B,,0,,21,1,18,0,40,222,1437,1659,
AMER1,,0,,17,0,12,0,29,138,663,801,
ZMYM3,,0,,5,0,1,0,6,46,404,450,
